Disease Name,Mean-Reverting?,Suggested Model
Hypertension,No,Linear
Type 2 Diabetes,No,Exponential
Asthma,Yes,OU
COPD,No,Linear
Breast Cancer,No,Exponential
Colon Cancer,Yes,OU
Parkinson's,No,Exponential
Epilepsy,No,Exponential
Chronic Kidney Disease,Yes,OU
Alzheimer's,No,Exponential
Rheumatoid Arthritis,Yes,OU
Lupus,No,Linear
Osteoarthritis,Yes,OU
Heart Failure,Yes,OU
Multiple Sclerosis,No,Exponential
Liver Disease,Yes,OU
Pancreatitis,No,Exponential
Glaucoma,No,Exponential
HIV/AIDS,Yes,OU
Anxiety Disorder,No,Exponential
